date,symbol,open,high,low,close,volume
2024-02-12,AAPL,161.39,162.35,160.4,162.21,18887823
2024-02-13,AAPL,161.75,164.27,160.29,160.97,12317588
2024-02-14,AAPL,161.43,162.86,161.21,161.96,18641990
2024-02-15,AAPL,162.93,165.68,161.33,164.5,17001367
2024-02-16,AAPL,165.48,166.4,164.22,164.78,13885430
2024-02-19,AAPL,166.71,166.74,166.24,166.32,13842042
2024-02-20,AAPL,164.45,166.45,163.59,166.07,17048244
2024-02-21,AAPL,166.22,166.64,165.5,166.33,11210789
2024-02-22,AAPL,167.43,169.74,167.23,169.19,19588967
2024-02-23,AAPL,171.19,173.34,169.28,169.53,13682308
2024-02-26,AAPL,168.07,170.0,166.55,168.28,12685058
2024-02-27,AAPL,169.32,170.8,169.28,169.88,19658047
2024-02-28,AAPL,168.82,168.99,165.92,167.64,17279372
2024-02-29,AAPL,168.86,169.97,167.69,169.72,10723037
2024-03-01,AAPL,170.39,170.68,168.4,169.25,11022430
2024-03-04,AAPL,169.69,169.76,168.59,169.44,19909929
2024-03-05,AAPL,168.46,170.59,165.6,166.68,17042908
2024-03-06,AAPL,167.37,168.78,165.05,167.82,11666554
2024-03-07,AAPL,167.6,168.39,165.13,167.15,16019649
2024-03-08,AAPL,165.79,167.29,165.71,166.67,19320207
2024-03-11,AAPL,166.52,168.07,165.95,166.39,13059281
2024-03-12,AAPL,165.34,166.96,164.41,165.76,14475812
2024-03-13,AAPL,166.97,168.23,165.22,167.91,14954041
2024-03-14,AAPL,167.07,169.94,164.41,167.51,10656010
2024-03-15,AAPL,168.87,169.37,168.55,168.85,18180978
2024-03-18,AAPL,166.91,167.61,165.88,166.69,17674926
2024-03-19,AAPL,168.68,170.77,165.71,166.74,17944927
2024-03-20,AAPL,167.96,168.16,167.5,167.77,16948041
2024-01-01,GOOGL,151.24,153.6,150.3,151.78,13194191
2024-01-02,GOOGL,153.65,155.25,152.16,154.34,19317721
2024-01-03,GOOGL,153.97,156.78,153.44,156.75,15885647
2024-01-04,GOOGL,158.28,161.07,157.59,160.91,17001806
2024-01-05,GOOGL,160.4,162.69,158.99,159.2,15159993
2024-01-08,GOOGL,160.18,161.54,157.97,159.49,10850649
2024-01-09,GOOGL,158.29,159.33,157.14,159.23,15302945
2024-01-10,GOOGL,157.96,160.43,156.98,157.87,11336689
2024-01-11,GOOGL,157.69,160.55,157.2,160.28,11041670
2024-01-12,GOOGL,160.93,161.59,159.26,160.88,15948224
2024-01-15,GOOGL,161.0,162.64,159.84,160.61,11504628
2024-01-16,GOOGL,159.01,159.34,158.89,158.93,12973109
2024-01-17,GOOGL,160.81,161.97,158.75,159.12,16120390
2024-01-18,GOOGL,159.97,162.73,158.21,160.7,17592860
2024-01-19,GOOGL,161.74,162.02,158.9,159.11,11608835
2024-01-22,GOOGL,157.43,159.76,156.67,159.05,14757529
2024-01-23,GOOGL,157.42,157.78,157.28,157.44,11957289
2024-01-24,GOOGL,158.1,159.26,157.42,157.5,18337638
2024-01-25,GOOGL,158.38,161.28,156.78,156.92,19812123
2024-01-26,GOOGL,154.97,156.28,154.26,155.37,11606549
2024-01-29,GOOGL,154.12,155.56,151.42,154.59,12874965
2024-01-30,GOOGL,155.62,156.52,155.09,156.39,17716347
2024-01-31,GOOGL,157.51,158.5,156.2,157.71,14142333
2024-02-01,GOOGL,159.34,161.9,158.83,160.21,12078841
2024-02-02,GOOGL,159.38,159.47,158.04,158.11,13234211
2024-02-05,GOOGL,159.17,162.11,156.52,158.36,17283732
2024-02-06,GOOGL,158.34,159.93,157.99,159.0,15959126
2024-02-07,GOOGL,160.92,161.63,160.19,160.34,15133117
2024-02-08,GOOGL,161.21,162.79,159.61,159.84,17417227
2024-02-09,GOOGL,161.02,163.59,159.23,160.27,18867659
2024-02-12,GOOGL,160.55,162.41,158.33,158.91,15038334
2024-02-13,GOOGL,157.32,157.35,156.09,156.51,19387535
2024-02-14,GOOGL,157.67,160.03,155.25,157.51,18526000
2024-02-15,GOOGL,156.91,159.38,154.39,154.86,11243344
2024-02-16,GOOGL,154.76,156.91,154.34,155.89,11209871
2024-02-19,GOOGL,154.29,155.72,153.38,154.67,17941260
2024-02-20,GOOGL,156.53,156.54,156.38,156.53,18137045
2024-02-21,GOOGL,158.3,159.34,157.78,158.99,13087744
2024-02-22,GOOGL,157.81,160.22,156.31,157.1,18324993
2024-02-23,GOOGL,155.85,155.96,153.19,154.82,12551722
2024-02-26,GOOGL,155.74,156.73,154.68,156.19,11949418
2024-02-27,GOOGL,154.78,155.96,153.4,155.49,19023395
2024-02-28,GOOGL,155.86,156.88,154.27,155.86,15291851
2024-02-29,GOOGL,153.91,156.36,153.0,155.42,16844771
2024-03-01,GOOGL,156.44,158.1,156.34,157.91,12071321
2024-03-04,GOOGL,156.44,157.6,154.04,154.57,19165666
2024-03-05,GOOGL,155.49,156.53,153.77,156.18,12679866
2024-03-06,GOOGL,154.37,157.34,152.51,156.93,11760680
2024-03-07,GOOGL,155.87,156.46,154.82,155.43,11206827
2024-03-08,GOOGL,155.89,155.92,154.01,154.92,12638616
2024-03-11,GOOGL,155.93,158.14,153.21,154.11,11187720
2024-03-12,GOOGL,155.14,156.51,152.25,155.47,18758303
2024-03-13,GOOGL,154.97,156.92,153.84,154.18,16067394
2024-03-14,GOOGL,152.64,152.83,150.27,151.13,16986488
2024-03-15,GOOGL,152.53,155.34,152.43,153.2,13076667
2024-03-18,GOOGL,155.04,156.03,153.03,153.07,16994653
2024-03-19,GOOGL,153.83,156.65,153.0,153.89,18520418
2024-03-20,GOOGL,154.87,155.05,153.38,154.82,11361692
2024-01-01,MSFT,150.57,150.92,150.5,150.5,16920614
2024-01-02,MSFT,151.99,152.3,151.73,152.26,16910947
2024-01-03,MSFT,152.61,153.66,150.8,151.43,12505205
2024-01-04,MSFT,153.22,155.61,152.85,154.85,19055332
2024-01-05,MSFT,153.47,153.77,152.81,152.98,17196620
2024-01-08,MSFT,152.6,153.64,150.13,150.31,13355280
2024-01-09,MSFT,149.12,151.81,148.59,148.82,14647324
2024-01-10,MSFT,148.72,151.44,147.02,147.56,13693852
2024-01-11,MSFT,145.87,146.02,143.71,144.63,10231960
2024-01-12,MSFT,144.07,145.62,142.41,144.39,10915217
2024-01-15,MSFT,142.99,144.59,142.45,144.36,16079894
2024-01-16,MSFT,144.36,145.43,144.17,145.08,18709540
2024-01-17,MSFT,143.2,144.92,141.12,144.4,16412729
2024-01-18,MSFT,145.58,147.95,144.02,146.27,11101985
2024-01-19,MSFT,147.09,147.56,144.43,146.2,13765522
2024-01-22,MSFT,146.53,147.96,145.58,147.82,13093748
2024-01-23,MSFT,149.67,151.31,147.97,149.5,17115143
2024-01-24,MSFT,148.23,150.24,147.38,148.87,16215774
2024-01-25,MSFT,147.41,149.55,146.62,149.39,17913547
2024-01-26,MSFT,149.82,152.06,148.13,150.94,17367325
2024-01-29,MSFT,152.76,153.69,152.38,153.43,13488448
2024-01-30,MSFT,152.11,152.17,152.07,152.08,16107443
2024-01-31,MSFT,153.84,155.14,153.66,154.18,15547726
2024-02-01,MSFT,153.8,155.15,151.54,151.67,15382432
2024-02-02,MSFT,151.18,152.77,150.28,151.07,12367049
2024-02-05,MSFT,152.51,154.89,149.71,150.79,18686621
2024-02-06,MSFT,149.28,151.44,148.64,150.77,16641039
2024-02-07,MSFT,149.19,151.34,147.41,148.78,19469169
2024-02-08,MSFT,149.1,151.49,147.04,147.46,12591880
2024-02-09,MSFT,148.99,150.93,147.37,147.96,10524500
2024-02-12,MSFT,148.37,150.1,148.35,148.94,18665184
2024-02-13,MSFT,150.78,153.35,148.81,151.77,14439529
2024-02-14,MSFT,151.99,152.11,149.75,152.09,18029684
2024-02-15,MSFT,151.8,152.65,151.16,151.18,19692611
2024-02-16,MSFT,150.48,153.33,149.32,150.72,14088346
2024-02-19,MSFT,151.31,154.15,148.83,152.35,19038650
2024-02-20,MSFT,152.62,154.32,150.54,153.64,15028310
2024-02-21,MSFT,151.78,152.25,149.8,151.52,18557980
2024-02-22,MSFT,153.45,155.61,152.57,154.89,15199517
2024-02-23,MSFT,156.5,157.52,154.9,155.74,15406711
2024-02-26,MSFT,153.91,154.65,152.01,154.18,16806258
2024-02-27,MSFT,153.37,155.49,152.42,153.96,13113097
2024-02-28,MSFT,155.65,158.3,155.64,156.57,14116525
2024-02-29,MSFT,155.64,158.59,154.34,156.83,11310568
2024-03-01,MSFT,158.51,159.59,156.04,157.14,17809114
2024-03-04,MSFT,156.2,156.87,155.45,156.52,19673456
2024-03-05,MSFT,156.08,157.66,154.61,156.5,13114999
2024-03-06,MSFT,155.71,156.53,152.85,154.3,17231072
2024-03-07,MSFT,154.6,156.87,152.6,153.39,16482664
2024-03-08,MSFT,151.46,152.33,151.44,151.9,18363967
2024-03-11,MSFT,153.41,154.79,152.45,153.95,15196133
2024-03-12,MSFT,154.71,154.72,154.04,154.23,17562466
2024-03-13,MSFT,154.95,155.43,153.62,154.18,11170082
2024-03-14,MSFT,154.23,154.64,153.44,154.42,17883616
2024-03-15,MSFT,154.06,154.26,154.03,154.12,15959912
2024-03-18,MSFT,154.66,157.17,152.71,155.89,15512989
2024-03-19,MSFT,155.16,156.12,154.08,154.98,19227624
2024-03-20,MSFT,155.89,158.67,154.33,155.02,15069115
2024-01-01,AMZN,148.07,150.27,147.9,149.7,17363541
2024-01-02,AMZN,149.38,151.32,149.04,149.12,16545124
2024-01-03,AMZN,150.73,151.19,147.86,150.81,15186807
2024-01-04,AMZN,150.88,151.27,150.76,150.77,14190985
2024-01-05,AMZN,150.37,152.48,148.15,150.8,18586759
2024-01-08,AMZN,151.75,153.84,149.4,151.98,15798992
2024-01-09,AMZN,150.98,153.31,148.03,152.88,13332233
2024-01-10,AMZN,153.24,154.31,150.78,151.43,11183802
2024-01-11,AMZN,151.78,154.63,150.62,151.02,19032766
2024-01-12,AMZN,151.11,154.02,150.71,151.07,19436483
2024-01-15,AMZN,150.98,153.66,148.44,150.81,16839907
2024-01-16,AMZN,149.96,151.64,147.02,149.47,16864523
2024-01-17,AMZN,150.34,151.09,148.83,149.59,14167580
2024-01-18,AMZN,148.26,149.72,146.63,148.55,16283617
2024-01-19,AMZN,149.0,150.2,146.74,149.48,15748578
2024-01-22,AMZN,148.65,149.41,146.5,148.53,18511560
2024-01-23,AMZN,147.64,150.3,145.78,147.43,17584738
2024-01-24,AMZN,147.49,148.33,144.73,146.33,14588859
2024-01-25,AMZN,145.24,145.44,143.54,144.23,10783876
2024-01-26,AMZN,144.68,145.87,142.69,144.71,12307963
2024-01-29,AMZN,145.03,146.15,142.96,144.66,16095223
2024-01-30,AMZN,145.76,145.83,144.44,144.6,19977504
2024-01-31,AMZN,145.7,148.27,143.0,143.59,10463894
2024-02-01,AMZN,145.38,146.5,143.93,146.27,17325012
2024-02-02,AMZN,144.55,144.73,142.28,143.4,11928034
2024-02-05,AMZN,143.03,143.43,142.53,142.67,14886514
2024-02-06,AMZN,141.06,143.47,138.36,139.24,19999349
2024-02-07,AMZN,138.48,140.96,138.04,138.1,11682249
2024-02-08,AMZN,136.13,136.78,134.95,135.9,18212606
2024-02-09,AMZN,137.14,138.99,134.41,137.45,11074537
2024-02-12,AMZN,137.01,137.38,136.15,137.08,13404503
2024-02-13,AMZN,135.59,136.08,132.82,135.08,18445885
2024-02-14,AMZN,133.84,134.58,133.39,134.07,16309076
2024-02-15,AMZN,135.26,136.27,133.84,134.02,17538906
2024-02-16,AMZN,134.47,135.81,131.53,135.24,11928898
2024-02-19,AMZN,135.16,135.61,132.7,133.71,19076329
2024-02-20,AMZN,135.19,136.69,133.5,133.56,13023768
2024-02-21,AMZN,133.62,134.96,132.84,133.97,10781242
2024-02-22,AMZN,134.9,137.82,132.55,133.95,17446677
2024-02-23,AMZN,133.97,134.95,133.42,134.76,19982629
2024-02-26,AMZN,134.16,137.11,133.88,136.97,12008390
2024-02-27,AMZN,138.77,141.71,136.87,138.79,13387752
2024-02-28,AMZN,138.86,141.19,138.82,139.07,19128539
2024-02-29,AMZN,139.88,142.29,139.62,141.74,14829157
2024-03-01,AMZN,143.48,145.26,143.29,143.81,14651912
2024-03-04,AMZN,144.14,146.16,143.23,145.71,10269906
2024-03-05,AMZN,147.2,149.73,146.93,148.27,14788338
2024-03-06,AMZN,147.61,150.29,146.58,146.82,15956105
2024-03-07,AMZN,145.61,147.88,144.16,146.45,15164679
2024-03-08,AMZN,145.71,148.11,145.06,146.9,19896745
2024-03-11,AMZN,146.69,148.73,146.33,147.12,13892458
2024-03-12,AMZN,148.82,150.46,147.11,150.14,14017059
2024-03-13,AMZN,148.91,150.78,146.57,150.64,15945550
2024-03-14,AMZN,149.37,150.02,146.61,148.6,13853139
2024-03-15,AMZN,149.17,150.82,147.52,148.84,19407452
2024-03-18,AMZN,148.0,149.01,145.89,146.48,16303266
2024-03-19,AMZN,148.45,148.77,147.07,147.99,14236535
2024-03-20,AMZN,149.15,151.41,147.9,151.22,15684622
2024-01-01,TSLA,148.62,150.06,148.08,149.2,16146536
2024-01-02,TSLA,151.14,152.65,150.8,151.73,18790830
2024-01-03,TSLA,153.2,153.46,150.4,152.4,13981606
2024-01-04,TSLA,153.25,154.53,152.14,153.28,10829661
2024-01-05,TSLA,153.98,155.91,151.99,154.22,15643444
2024-01-08,TSLA,154.53,156.11,152.65,154.14,10879776
2024-01-09,TSLA,155.81,156.89,155.69,156.49,16855922
2024-01-10,TSLA,154.91,157.24,152.87,154.53,10499601
2024-01-11,TSLA,156.52,157.99,156.34,157.41,17411421
2024-01-12,TSLA,157.81,158.67,155.3,157.68,16676615
2024-01-15,TSLA,159.57,161.98,157.75,161.34,14822470
2024-01-16,TSLA,160.17,161.45,158.61,161.02,19121062
2024-01-17,TSLA,160.9,161.85,160.02,160.67,15482147
2024-01-18,TSLA,161.96,163.39,160.25,161.33,10401795
2024-01-19,TSLA,159.82,162.75,157.41,158.9,17062910
2024-01-22,TSLA,158.74,159.64,156.74,159.29,13822686
2024-01-23,TSLA,158.63,159.11,156.74,158.5,15588040
2024-01-24,TSLA,157.4,159.86,154.47,155.07,10152779
2024-01-25,TSLA,156.26,158.28,153.88,157.02,17874132
2024-01-26,TSLA,158.49,161.47,157.74,161.21,12169203
2024-01-29,TSLA,159.61,161.73,158.25,161.66,15020520
2024-01-30,TSLA,163.11,163.28,162.7,163.2,13581684
2024-01-31,TSLA,162.71,164.27,160.36,162.07,14521238
2024-02-01,TSLA,160.7,161.85,158.02,160.26,11231323
2024-02-02,TSLA,158.76,159.66,156.78,157.85,12565694
2024-02-05,TSLA,157.79,160.27,157.62,157.75,13314941
2024-02-06,TSLA,158.41,159.55,156.79,157.74,15051361
2024-02-07,TSLA,157.1,159.09,154.19,156.14,18472110
2024-02-08,TSLA,157.83,159.58,156.04,158.52,13477406
2024-02-09,TSLA,158.19,160.2,155.81,156.55,18642010
2024-02-12,TSLA,156.36,158.11,154.44,157.41,19752905
2024-02-13,TSLA,155.92,158.05,155.55,157.86,19709396
2024-02-14,TSLA,159.02,159.77,157.39,157.87,19692898
2024-02-15,TSLA,156.14,156.72,154.6,155.81,18738312
2024-02-16,TSLA,157.33,160.05,155.79,157.21,15035576
2024-02-19,TSLA,155.86,158.14,155.1,157.92,10562248
2024-02-20,TSLA,157.49,160.25,154.95,156.08,15678749
2024-02-21,TSLA,154.49,157.32,152.73,156.78,18577532
2024-02-22,TSLA,157.24,158.52,155.98,157.5,16880326
2024-02-23,TSLA,159.41,159.63,158.41,159.07,17861674
2024-02-26,TSLA,160.79,161.9,159.48,161.74,15594448
2024-02-27,TSLA,160.11,162.32,158.4,160.39,17107879
2024-02-28,TSLA,158.45,160.51,156.18,158.55,13227247
2024-02-29,TSLA,157.7,158.54,155.36,158.0,18286864
2024-03-01,TSLA,158.28,159.77,157.88,159.64,17246093
2024-03-04,TSLA,160.36,163.04,159.49,161.81,11947220
2024-03-05,TSLA,161.03,161.5,158.65,158.97,14363407
2024-03-06,TSLA,160.47,161.71,157.66,158.05,10109538
2024-03-07,TSLA,159.02,159.21,156.76,157.08,18523399
2024-03-08,TSLA,158.43,158.96,158.4,158.88,12695414
2024-03-11,TSLA,157.29,159.07,155.7,155.74,12889296
2024-03-12,TSLA,156.04,157.35,154.56,155.58,16710307
2024-03-13,TSLA,154.78,156.83,153.94,154.72,19909392
2024-03-14,TSLA,155.58,156.1,152.69,154.49,14618422
2024-03-15,TSLA,155.23,156.94,152.92,153.45,14124889
2024-03-18,TSLA,152.81,154.27,152.01,152.12,17007612
2024-03-19,TSLA,151.66,153.28,149.8,153.2,16752139
2024-03-20,TSLA,151.93,152.04,151.66,152.0,19355172
